Id,SalePrice
1461,106867.834899231
1462,167301.23847949426
1463,180892.59957115274
1464,194083.64304288398
1465,155452.8552376024
1466,177641.86603429835
1467,213753.71915887218
1468,171716.13192896466
1469,162580.65681534927
1470,114530.25351802926
1471,215743.56694038134
1472,105150.22085796218
1473,100400.06641487699
1474,139978.19582077782
1475,127166.5753413282
1476,388382.8244168601
1477,238781.56114409785
1478,282551.3234678946
1479,280866.2652362428
1480,466691.4357472501
1481,293476.05096290924
1482,192577.11463685255
1483,166420.4718463413
1484,149763.48070952218
1485,174660.385889589
1486,184030.95440196912
1487,306844.9321542225
1488,228284.7590569697
1489,179977.8097562782
1490,214671.489321842
1491,198092.3225581936
1492,72212.73353885036
1493,176612.40927132886
1494,274474.6176857791
1495,252689.4373495422
1496,239366.27807806354
1497,171468.70402026098
1498,171699.62063956182
1499,174039.64993323307
1500,159890.62305989783
1501,168777.23776626508
1502,148376.12464728873
1503,218029.07276417236
1504,249083.6721930943
1505,215520.5907624505
1506,197086.12780108224
1507,257302.68356095176
1508,198036.6080221079
1509,142070.04071775
1510,140806.45896795313
1511,153695.84480377953
1512,164004.64621114652
1513,143849.57410621564
1514,177525.14691132228
1515,174816.87696653526
1516,162994.72400697987
1517,153269.8293939523
1518,112067.47197548967
1519,244920.3056369267
1520,130197.34523932557
1521,134755.89897821765
1522,175031.601523637
1523,112982.768798276
1524,124925.61110149245
1525,139656.1626367561
1526,107942.47706572633
1527,107691.32305125814
1528,147854.30888536494
1529,133325.25678019147
1530,194998.96535019498
1531,129878.1609569035
1532,99028.47320179563
1533,158559.11834540885
1534,139326.8435612611
1535,147211.05802211087
1536,101204.9374509893
1537,44208.803397818614
1538,176536.93752217214
1539,220457.49311971586
1540,91209.0806413732
1541,138926.6882375173
1542,127969.25739090066
1543,183021.9630535982
1544,85334.50604866366
1545,120391.53323660712
1546,159848.72113618176
1547,135412.1335361443
1548,151102.3893490724
1549,126154.83434687476
1550,133209.54094271283
1551,105386.44898871999
1552,138954.7158494882
1553,136574.1178751282
1554,141678.81302538436
1555,144831.200440257
1556,77288.3924264751
1557,89493.37659816365
1558,108796.99732105355
1559,77769.62609480243
1560,150495.22457274716
1561,128160.933207377
1562,134120.1808039389
1563,124156.61154578548
1564,155607.7421307854
1565,151211.90305802147
1566,203685.26632751446
1567,76074.65304176431
1568,259668.96728019338
1569,130371.56281511407
1570,139496.85484918873
1571,120013.72918228726
1572,132296.56187038045
1573,245883.9962307654
1574,141696.8399733595
1575,201588.8570180453
1576,272909.245512291
1577,201335.4697544418
1578,140562.5640191428
1579,139550.51721039336
1580,211584.0820797078
1581,144717.5019040994
1582,123929.19301281791
1583,288888.2570851884
1584,229722.47790510874
1585,140387.78310123007
1586,83326.0357860766
1587,98916.28764162879
1588,150639.08605578463
1589,119204.93084679465
1590,127564.3056113563
1591,101737.1616293035
1592,111565.09956459622
1593,127988.85096649747
1594,132507.13379125218
1595,113033.11548869233
1596,217598.18578626137
1597,197365.85935673784
1598,197408.64519107263
1599,149192.38055947344
1600,157048.42254894893
1601,92124.0877453528
1602,117544.38068012815
